  78.653  136.506  130.980
  77.570  136.372  132.865
  77.904  135.852  131.656
  77.093  134.485  131.503
  77.338  133.043  130.859
  77.065  131.527  131.435
  77.766  130.344  130.520
  81.228  127.820  133.961
  80.025  127.459  132.333
  78.605  127.895  131.592
  76.535  135.815  143.952
  76.727  135.383  145.484
  78.060  134.828  146.018
  76.625  136.561  146.411
  77.182  136.620  143.345
  75.479  135.112  143.399
  74.871  135.143  142.042
  74.477  133.851  141.247
  75.767  133.340  140.742
  73.817  126.215  138.253
  75.262  125.486  138.008
  76.502  124.599  138.544
  76.438  122.940  139.433
  72.577  127.038  139.056
  71.703  127.927  140.118
  71.512  129.183  141.125
  71.806  130.742  141.423
  72.427  132.162  141.007
  73.661  132.581  141.443
  71.725  132.886  140.382
  78.608  128.819  130.383
  78.690  129.797  149.660
  78.312  129.022  150.925
  78.338  127.683  150.990
  77.801  129.669  152.185
  78.677  131.001  149.691
  79.026  129.127  148.511
  79.126  129.332  147.035
  78.247  128.761  145.813
  79.248  129.135  144.680
  78.051  121.221  141.304
  77.513  119.796  141.203
  77.342  119.347  142.632
  75.707  118.813  143.078
  79.053  121.485  142.627
  79.027  122.442  144.027
  78.529  123.507  145.253
  77.636  124.680  146.140
  76.751  126.140  146.099
  77.269  127.510  145.884
  75.584  126.103  146.301
  75.699  118.950  144.911
  78.303  122.002  139.635
  75.155  139.064  133.623
  74.117  139.629  132.781
  72.941  138.977  132.694
  74.394  140.950  132.159
  76.272  139.519  133.712
  74.828  138.005  134.385
  75.081  138.108  135.767
  76.497  137.909  136.173
  76.589  137.902  137.693
  80.884  129.209  135.525
  79.308  130.350  135.560
  77.720  130.219  135.215
  76.323  129.390  135.240
  75.011  128.201  135.804
  79.777  131.324  136.634
  79.169  132.739  136.724
  79.569  134.164  136.247
  78.749  135.190  135.411
  77.347  135.659  135.751
  77.320  136.974  135.461
  76.457  135.054  136.251
  73.684  126.887  136.502
  80.344  138.392  161.385
  79.669  137.772  160.187
  79.574  136.278  159.860
  78.869  136.223  158.499
  77.923  135.144  157.972
  76.958  135.779  156.932
  77.098  135.120  155.569
  77.363  135.937  154.307
  77.440  134.889  153.210
  78.354  134.866  152.015
  77.883  133.750  151.149
  80.119  139.911  161.306
  79.466  133.736  147.913
  79.489  133.660  149.416
  78.246  133.996  149.808
  80.315  133.306  150.220
  80.684  134.054  147.026
  78.161  134.500  147.514
  75.594  134.503  145.898
  77.617  116.409  114.924
  79.664  117.361  114.993
  78.309  117.378  114.866
  77.846  118.811  114.772
  76.607  119.163  113.921
  75.669  119.934  114.821
  74.613  120.899  114.311
  74.800  124.051  118.258
  74.092  122.517  117.723
  74.827  121.909  116.579
  76.293  121.213  129.942
  76.505  119.688  129.894
  76.699  119.313  128.441
  77.918  119.519  130.451
  77.063  121.880  130.573
  75.296  121.759  129.128
  73.901  121.427  129.252
  72.794  122.295  128.642
  72.503  123.790  128.700
  74.592  126.587  124.675
  74.399  128.063  125.469
  74.500  129.525  126.250
  75.687  130.689  127.061
  73.948  125.410  125.398
  74.626  124.004  125.139
  73.897  122.645  124.876
  72.410  122.297  125.095
  71.896  122.086  126.433
  72.963  122.161  127.235
  70.753  121.899  126.779
  73.635  123.466  114.683
  73.950  121.793  115.359
  78.249  138.842  127.378
  78.492  140.215  127.722
  77.792  140.782  128.716
  79.495  140.871  126.863
  78.519  138.389  126.287
  77.725  138.076  128.351
  77.193  136.848  127.946
  77.864  135.605  128.351
  76.713  134.525  128.096
  78.904  129.873  127.103
  79.783  128.697  126.598
  81.207  128.574  127.049
  81.279  127.447  128.406
  79.074  131.120  126.280
  80.534  131.676  126.577
  81.329  133.091  126.354
  81.429  134.599  127.045
  80.360  135.771  127.351
  79.346  135.395  128.206
  80.452  136.824  126.789
  80.309  128.775  129.617
  77.218  129.626  127.880
  74.000  118.796  117.305
  73.437  118.456  115.991
  72.319  119.109  115.758
  74.052  117.599  114.914
  75.115  118.455  117.603
  73.281  119.503  118.250
  73.750  119.197  119.557
  74.657  120.154  120.191
  74.687  119.846  121.703
  75.147  125.146  116.559
  76.199  126.307  117.468
  75.189  127.084  118.360
  75.346  127.287  119.858
  74.433  125.994  120.813
  77.331  125.506  118.116
  77.955  124.293  117.373
  78.221  122.964  118.182
  77.794  121.583  118.777
  76.695  121.255  119.756
  75.795  120.357  119.312
  76.716  121.581  120.903
