 100.309  141.366  130.322
  98.515  142.332  131.093
  99.110  141.433  130.265
  97.947  140.766  129.397
  97.625  139.328  128.779
  96.253  138.423  128.772
  96.497  136.868  128.271
  94.966  133.788  132.556
  95.033  133.771  130.501
  94.919  134.726  129.148
  91.105  145.211  138.909
  90.063  145.141  140.127
  90.180  144.090  141.245
  90.148  146.360  141.001
  92.294  145.337  138.986
  90.425  145.108  137.709
  90.896  145.136  136.299
  90.389  144.136  135.202
  91.115  142.886  135.502
  87.335  137.717  131.058
  87.871  136.272  131.611
  87.741  135.010  132.612
  86.219  133.952  132.947
  86.642  139.260  131.078
  86.043  140.714  131.532
  86.075  142.065  132.429
  86.972  143.209  133.130
  88.391  143.883  133.454
  89.075  143.634  134.619
  88.782  144.694  132.681
  96.167  135.157  128.390
  85.477  140.655  143.492
  84.072  140.565  144.093
  83.270  139.506  143.908
  83.420  141.674  144.875
  86.151  141.623  143.734
  85.952  139.652  142.685
  86.992  139.393  141.646
  86.881  139.130  140.062
  88.327  138.586  139.867
  85.033  132.153  135.048
  83.961  131.299  134.376
  82.766  131.393  135.289
  81.271  131.993  134.539
  84.976  132.130  136.728
  84.697  133.249  137.971
  84.315  134.673  138.814
  83.972  136.320  139.176
  84.346  137.960  138.880
  85.561  138.703  139.286
  83.547  138.632  138.319
  80.271  132.560  135.974
  86.608  132.217  134.061
  98.271  145.999  130.713
  98.508  146.818  129.539
  97.516  146.936  128.634
  99.797  147.555  129.476
  99.114  145.757  131.547
  97.024  145.531  130.904
  96.416  145.814  132.143
  96.862  144.966  133.280
  96.019  145.285  134.506
  94.662  135.467  133.814
  94.416  137.259  133.097
  93.646  137.957  131.841
  92.361  138.087  130.855
  90.598  138.017  130.268
  94.616  138.034  134.393
  95.043  139.517  134.359
  96.376  140.304  134.501
  97.000  141.367  133.551
  96.282  142.606  133.048
  97.201  143.590  133.056
  95.135  142.747  132.779
  88.677  137.890  129.752
  84.529  149.438  155.156
  84.490  149.027  153.705
  83.761  147.816  153.115
  84.129  147.830  151.626
  83.276  147.373  150.441
  83.711  148.157  149.171
  84.207  147.220  148.082
  85.571  147.407  147.423
  85.649  146.263  146.427
  86.852  145.439  146.056
  86.445  144.603  144.893
  85.331  150.746  155.244
  89.228  142.908  143.357
  88.316  143.207  144.515
  87.580  144.264  144.126
  88.105  142.664  145.572
  90.620  142.261  143.473
  89.170  144.143  142.399
  88.670  145.178  139.592
  97.462  122.059  113.533
  99.129  121.687  115.010
  98.449  122.425  114.092
  99.075  123.795  114.007
  99.080  124.555  112.663
  98.471  125.912  112.932
  98.735  127.140  112.077
  98.358  130.508  115.827
  97.380  129.556  114.695
  98.112  128.381  114.147
  90.699  130.317  125.214
  89.961  128.980  125.020
  90.705  128.215  123.946
  90.333  128.194  126.276
  91.152  130.572  126.294
  90.932  131.105  124.082
  89.878  131.652  123.267
  90.116  132.807  122.287
  90.786  134.166  122.435
  95.951  134.219  121.126
  96.234  135.693  121.899
  96.683  136.987  122.837
  97.553  137.447  124.403
  94.479  133.826  121.071
  94.197  132.270  121.019
  93.150  131.536  120.118
  91.980  132.144  119.318
  90.783  132.595  119.997
  90.958  132.257  121.279
  89.826  133.172  119.534
  99.456  129.810  112.252
  98.266  128.478  112.650
 103.551  142.551  127.736
 104.284  143.588  128.408
 103.635  144.673  128.855
 105.735  143.335  128.478
 104.080  141.772  126.974
 102.239  142.478  128.025
 101.462  141.702  127.158
 100.882  140.444  127.645
  99.754  140.168  126.546
  98.869  135.015  126.238
  98.978  133.468  126.163
  99.446  132.687  127.353
  98.036  132.090  128.232
 100.173  135.704  125.941
 101.146  135.403  127.163
 102.547  136.024  127.740
 103.075  137.333  128.617
 102.973  138.934  128.423
 101.681  139.414  128.395
 103.967  139.577  128.244
  97.550  133.983  128.826
  97.319  135.953  125.766
  95.411  126.557  113.619
  95.666  126.278  112.199
  95.551  127.361  111.462
  96.147  124.989  111.581
  95.667  125.739  114.462
  94.862  127.753  114.042
  94.183  127.572  115.279
  94.879  127.981  116.499
  93.830  128.093  117.625
 100.186  130.761  114.933
 100.921  131.318  116.492
 100.279  132.717  116.712
  99.608  133.162  118.001
  97.782  132.883  117.940
 100.714  130.211  117.530
 100.798  128.719  117.108
  99.701  127.718  117.645
  98.309  127.010  117.585
  96.924  127.606  117.610
  96.154  127.288  116.551
  96.452  128.136  118.568
